;DR 1+;DR 1-;DR 2+;DR 2-;DR 3+;DR 3-;DR 4+;DR 4-;DR 5+;DR 5-;DR 6+;DR 6-;DR 7+;DR 7-;DR 8+;DR 8-;DR 9+;DR 9-;DR 10+;DR 10-;DR 11+;DR 11-;DR 20+
CEP295;0.0052351663;0.0131582;0.00035080113;0.028769676;0.010708393;0.0024839323;0.0023237027;0.0048049386;5.4428133e-06;5.6266227;0.028036293;3.9127113e-05;8.687048e-05;0.010208241;4.0633906e-05;0.010873396;2.6677283e-06;0.009420268;1.8629337e-06;0.01944429;2.4866247e-05;0.013340179;0.0051137973
CEP97;0.0009862515;0.020206235;0.0006230937;0.020807019;0.007251958;0.0015122958;0.0033741654;0.0040849983;2.289334e-05;8.722901;0.037213396;0.00017587133;8.7328095e-05;0.004375305;4.8445086e-06;0.014893428;7.130736e-06;0.002201388;2.4478402e-07;0.07549976;9.516399e-06;0.007047236;0.009983338
CERKL;0.021676203;0.03581433;0.004455189;0.094239965;0.033710346;0.0075376458;0.047047194;0.02532584;0.0004246217;2.1107311;0.074855685;0.0041390276;0.001228556;0.0063043293;7.678511e-07;0.047761932;9.496614e-06;0.0042185774;1.1010663e-06;0.22899115;8.7485234e-05;0.011339718;0.03461776
CERS5;0.010908967;0.19612466;0.00043029402;0.052425496;0.014534389;0.0032296933;0.0076840613;0.024811441;0.000109755034;6.9865456;0.03837515;0.015651206;0.0001401814;0.012678269;0.0002228916;0.009120364;0.00011393822;0.0028207167;1.4522354e-05;0.0342141;1.3257657e-05;0.048145372;0.018900447
CES1;0.030021511;1.4356676;0.0025153223;0.7565259;0.14279199;0.01905921;0.031379186;0.0029405097;0.023427015;0.001974185;0.2602206;0.013403246;0.002481467;0.0024532299;2.8001753e-06;0.18411765;0.001715206;0.0009872084;8.112429e-06;0.04675198;0.0005358171;0.0008894659;0.066481255
CETN1;0.015676547;0.1517335;0.005151279;0.2075252;0.12007392;0.0033404813;0.027938493;0.045936808;0.0064975964;0.30705768;0.08625964;0.016053189;0.0004051581;0.07486131;3.8826074e-06;0.2085291;4.8168487e-05;0.019186944;4.646917e-06;0.12008641;2.2661447e-05;0.05379075;0.0042456267
CFAP251;0.01548686;0.26029652;0.00036497062;0.18031083;0.065620944;0.0031257698;0.010713785;0.039584007;0.007610357;0.12880181;0.07190903;0.008651061;0.00030917;0.011129058;0.00031853543;0.015718337;0.00045035552;0.0017403703;2.4561898e-05;0.071236685;3.5527006e-05;0.028138883;0.0011860933
CFAP276;0.013917921;0.26202315;0.0139683755;0.05224756;0.0058926875;0.03987279;0.06823613;0.003357723;0.033759225;0.015563774;0.14030597;0.00051603233;0.0001173632;0.13279769;0.00012157728;0.14159407;0.0031942425;3.3995035e-05;3.6782524e-06;0.29068875;0.00026364508;0.008689465;0.0010220826
CFAP299;0.0061206715;0.16600223;0.001589462;0.041976746;0.024713615;0.0041578542;0.0075487844;0.0085271355;7.803651e-05;4.1199007;0.06235565;0.0016695246;0.00030550212;0.008753761;4.3438536e-06;0.049760632;0.00017586754;0.0004090885;5.1088086e-06;0.02875955;2.9381603e-05;0.0034940767;0.010810043
CFAP47;0.005675954;0.14251882;0.0051803305;0.048790593;0.032226473;0.0016955738;0.013662423;0.027334163;0.0009964778;2.292783;0.08345857;0.0059159384;0.00035842304;0.01660182;4.979519e-06;0.018601818;6.246518e-05;0.0023443308;2.7763097e-06;0.14878291;5.8392332e-05;0.028273767;0.0012102732
CFAP97D1;0.022394912;0.30245245;0.0028626015;0.09977235;0.07721766;0.010572182;0.019772027;0.15419562;0.008502318;0.19548568;0.1448373;0.0015822066;0.0001161324;0.05303236;4.4078733e-06;0.112283975;0.000361338;0.002364089;5.496798e-06;0.18538173;4.1406656e-05;0.06211469;0.010981615
CFD;0.036664553;0.5580942;0.010419367;0.31173176;0.5462567;0.0026198798;0.007688457;0.2242182;0.029341945;0.010120686;0.34591076;0.07388041;0.00016050672;0.042813126;0.00035110407;0.040369507;9.4103176e-05;0.027518533;2.3859106e-06;0.22996955;2.4728444e-05;0.031093057;0.0034910413
